name,ranked,score,popularity,favorite,published,description,serialization,reading,completed,dropped,plan_to_read,genre
My Girl,146,8.39,528,759,2006,twenti three year old masamun kazama spend day work mundan offic job dwell past although five year young bachelor continu hold onto relationship past girlfriend youko tsukamoto blue receiv call youko mother inform pas away accid furthermor learn youko left young daughter rais secreci oversea stricken grief masamun decid take young girl rais girl tale famili loss accept masamun navig complex daili life singl father,45,3253,11194,412,16177,11.0
Yuru Camp△,147,8.39,1002,895,2015,set tent start fire eat noodl mt fuji view rin nadeshiko absolut love camp enjoy zest travel mayb even pick tip two rough great outdoor might want go camp sourc yen press,153,7452,443,437,7971,11.0
Kimi no Na wa.,148,8.39,161,1542,2016,mitsuha miyamizu high school girl live countrysid town itomori yearn life tokyo sick live countrysid time taki tachibana high school student live tokyo great interest architectur aim becom urban planner near futur one day mitsuha dream boy live life den capit taki dream live girl rural town itomori time pas two discov dream actual swap bodi upon fall asleep kimi na wa revolv around mitsuha taki experi supernatur work togeth deal strang phenomenon impact everyday life,38,12988,42521,2212,26808,12.0
Noragami,149,8.39,43,12023,2010,rel unknown minor deiti without worshipp deliveri god yato take odd job five yen goal amass fortun larg enough buy shrine addit obscur anoth problem shinki weapon partner decid resign tire homeless god left weapon yato take job hope find new partner soon put flier miss cat yato see said cat chase right path oncom vehicl hiyori iki nearbi girl rush push yato way end hurt wake hospit discov incid knock soul loo bodi realiz action caus yato promis help return hiyori normal five yen cours order return normal requir new shinki find rebelli spirit yukin noragami tell stori girl walk line two world stray deiti quest place call,193,93961,6095,6491,53065,13.0
Imawa no Kuni no Alice,150,8.39,191,3300,2010,feel unsettl futur high school student ryouhei arisu often escap realiti life hang bar arisu best friend daikichi karub chouta segawa wait first train arriv morn suddenli color array firework set sky enorm blind firework render unconsci trio find back bar cover dust discov citi becom barren wasteland instead worri arisu feel aliv first time life relish freedom lifeless citi howev bliss cut short group rashli enter festiv venu see delicaci live ambianc think place dream unbeknownst set first deadli game togeth friend arisu slowli enter mysteri area known borderland unknown countri everi game put live stake singl misstep lead demis,198,11008,28220,1003,34975,7.0
Tensei shitara Slime Datta Ken,151,8.39,91,5994,2015,anoth ordinari day satoru mikami sun shine brightli street tokyo midst discus colleagu suddenli get stab pas robber averag 37 year old corpor worker death door one regret die virgin fade startl mysteri ai like voic recit command satoru abruptli wake middl strang cave someth odd happen goop slime thank new bodi acquir skill absorb anyth obtain appear abil test newfound power explor cave stumbl upon massiv dragon name veldora seal away past three hundr year quickli befriend beast satoru decid help escap exchang satoru bestow new name rimuru tempest wish avoid life like bore mundan past rimuru set grand quest chang destini fate new world,196,91351,4195,4073,19111,3.0
Kiseijuu,152,8.38,130,4355,1989,parasit tenni ball size creatur whose number origin unknown invad take human mind order surviv shinichi izumi 16 year old high school student live parent quiet neighborhood one night parasit invad shinichi bodi attempt take control howev fail complet takeov process ultim end inhabit right arm thu shinichi parasit call migi retain individu mind peculiar human alien relationship migi propos cooper surviv shinichi choic agre must cling moral migi face bloodthirsti parasit,2,11016,54863,1892,29523,3.0
Bakuman.,153,8.38,48,11073,2008,despit talent artist middl school student moritaka mashiro unsur futur accept simpli lead normal life see one mashiro draw class akito takagi aspir writer insist write manga togeth mashiro hesit uncl mangaka die overwork year prior howev mashiro hear crush miho azuki aim voic actress becom determin creat manga adapt anim star reciproc mashiro feel agre get marri achiev dream bakuman chronicl mashiro takagi success struggl attempt serial weekli shounen jump becom famou mangaka gambl pay join countless number failur,189,32483,73215,7945,46023,14.0
Toshokan no Daimajutsushi,154,8.38,1431,390,2017,throughout civil book rever crystal knowledg link past futur convey thought protect sort written text man known magu librari establish central librari aftzaak citi book slum desert villag amun live theo fumi young boy love read unfortun peopl slum unabl use local librari make matter wors continu bulli peer due unusu long ear seek escap miser live condit dream one day go aftzaak unpleas daili life soon interrupt arriv kafna elit librarian skill enough work central librari sedona bleu one kafna lend theo cherish book howev due unforeseen circumst unabl finish read time kafna depart fortun theo sedona renew loan give yet anoth reason go citi book,240,4884,154,256,7258,13.0
Shadows House,155,8.37,429,1571,2018,emilico one mani live doll serv shadow hous resid pitch black head toe constantli leak soot stain hous black shadow partner doll strang resembl live doll emilico must keep hous sparkl clean well act face master kate turn kate support emilico treat confid far either rememb alway way world work howev bond shadow doll quit clear administr watch young pair higher level mansion judg purpos,225,16539,1088,993,17753,8.0
Look Back,156,8.37,166,2450,2021,fourth grader ayumu fujino regularli draw four panel manga school newspap laud best artwork class one day ask teacher turn one manga slot school newspap truant student name kyomoto kyomoto manga pop alongsid fujino receiv high prais detail artwork make fujino furious jealou refus beaten someon bare attend school fujino devot learn creat manga time goe though goal outshin kyomoto seem get away fujino sixth grade eventu give quit make manga graduat day arriv fujino ask deliv kyomoto graduat certif chanc two end come face face unexpect meet end consequ far beyond either could ever predict,191,3409,65093,47,15564,14.0
xxxHOLiC,157,8.37,178,5020,2003,live alon parent pas away kimihiro watanuki high school student see otherworldli creatur attract day plagu nuisanc wish rid inconveni one fate day kimihiro chase hord spirit foot bring mysteri store seek shelter meet yuuko ichihara mistress suppos store claim abl grant wish yuuko offer grant kimihiro long pay appropri price thu begin kimihiro time work store earn payment necessari wish yuuko employ must becom involv spirit supernatur leav world behind fare inexplic encount await,230,15431,27153,3688,28298,8.0
Cardcaptor Sakura,158,8.37,246,3854,1996,herein lie clow card seal broken disast shall befal world sakura kinomoto energet sweet 10 year old girl attend tomoeda elementari school one day long enter fourth grade sakura find mysteri book titl clow hidden within father bookshelv upon open small wing creatur osakan accent come book introduc kerobero creatur seal guard magic card known clow card keep escap book unfortun plushi guardian seem clow card alreadi escap sakura task captur card unleash power caus havoc tomoeda support tini guardian nicknam kero best friend tomoyo daidouji sakura must wield magic bird shape key use new power cardcaptor maintain peac ensur everyth alright,165,5700,37106,1589,14930,3.0
SKET Dance,159,8.37,522,1453,2007,kaimei high school full eccentr individu student teacher alik amongst school mani club sket brigad offici known live assist club compris somewhat idiot yuusuk bossun fujisaki gallant hime himeko onizuka silent surprisingli popular kazuyoshi switch usui sket brigad dedic solv variou problem campu howev club rare receiv request member spend time mess around random trivial matter hilari heartwarm sket danc lightheart comedi follow daili high school live odd trio friend,189,5420,10563,1212,12949,3.0
Nichijou,160,8.37,460,1761,2006,daili live highschool may seem commonplac concept certainli appli trio tokisadam high yuuko aoi two eccentr friend everi day uniqu experi stumbl across wrestl match princip deer indulg chopstick battl sausag excit never end one day live take turn bizarr encount insecur robot maid young excit creator earth talk cat peopl world nichij daili life continu endless roller coaster,184,10611,5992,999,15531,17.0
Boku dake ga Inai Machi,161,8.37,162,3313,2012,satoru fujinuma 29 year old work part time pizza deliveryman order make end meet due unsuccess career mangaka struggl adult meet eye posse mysteri abil take back time right life threaten incid occur reviv call trigger continu send back abl save live individu involv satoru life take turn wors love one kill unknown man frame crime desper get away ass situat inexplic sent 18 year past right disappear death classmat kayo hinazuki event plagu sinc childhood satoru elementari school student must get wit togeth save young girl untim demis figur ident person respons kayo murder connect present,219,10039,44884,1382,27589,8.0
Ballroom e Youkoso,162,8.36,422,1271,2011,particular dream plan futur third year middl schooler tatara fujita yearn find someth pursu wholeheartedli initi often bulli extort lack confid tatara life chang save delinqu man name kanam sengoku savior motorcycl ride danc instructor proce drag tatara ogasawara danc studio mistakenli believ boy look studio flyer tatara partner schoolmat skill dancer shizuku hanaoka agre trial lesson next day bulli save yet ask studio teach danc hope chang imag enter bright fast pace new world tatara dedic time danc sweep danc hall,193,19279,1075,1188,14147,5.0
Wotaku ni Koi wa Muzukashii,163,8.36,85,6103,2015,narumi momos petit cute young woman love idol game everyth anim manga relat especi boy love genr word closet otaku specif fujoshi breakup due kind interest quit job join new compani new workplac colleagu know secret childhood friend hirotaka nifuji blunt game otaku hanako koyanagi cool matur look beauti tarou kabakura attract guy scari face alway get fight hanako drink catch hirotaka advis narumi date someon would understand hobbi hesit otaku typic perceiv gross one understand otaku could relationship two otaku work follow relationship narumi hirotaka begin date wotaku ni koi wa muzukashii light heart stori tri balanc work relationship hobbi,62,50033,30537,2864,40467,17.0
Azumanga Daioh,164,8.36,305,3421,1999,chiyo mihama child prodigi skip sever grade end high school first day discov class full eccentr individu sakaki tower chiyo aloof intimid tomo takino loud annoy ayumu osaka kasuga absentmind great solv riddl koyomi yomi mizuhara ob diet love karaok despit aw sing kagura competit tomboy classmat becom good friend time experi everyday live togeth thing like school studi go summer trip engag kind shenanigan,84,4480,28398,1066,15292,11.0
Buddha,165,8.36,1232,448,1972,ancient india live peopl plagu drought famin constant warfar injustic strict cast system intertwin live mani unhappi soul drawn togeth birth young princ siddhartha embark spiritu journey becom buddha enlighten one attempt bring spiritu rebirth peopl desper age sourc ann,68,1366,4218,308,8386,12.0
Black Jack,166,8.36,795,848,1973,black jack unregist doctor cloud mysteri past work littl assist pinoko massiv crush doctor deal medic case well known strang danger known geniu save almost patient live long money known mani around world especi medicin scienc man scienc believ much seen yet mani time surpris love natur often overpow scienc base life sourc ann,186,2998,5177,671,11395,3.0
Konjiki no Gash!!,167,8.35,544,2079,2001,kiyomaro takamin geniu middl schooler greet one morn gash bell boy mysteri red book task father deciph kiyomaro soon learn gash ordinari boy abl shoot lightn mouth chant word gash demon child one apart war take place everi 1000 year decid demon king kiyomaro one read gash book duti partner thrust excit tale friendship determin melon,197,3731,14535,975,10444,3.0
Kanata kara,168,8.35,1178,689,1991,noriko tachiki dreamt beauti fantasi land time though friend think imagin one day way home noriko stumbl upon bomb disguis paper bag explod right front howev instead die transport mysteri forest full strang plant creatur begin navig wood noriko suddenli attack giant worm like monster fortun save izark kia tarj swordsman speak languag lack strength surviv noriko decid follow stoic savior take opportun learn foreign land languag use izark unbeknownst noriko crucial piec ancient propheci awaken destin unleash greatest evil known sky demon influenti peopl plot captur noriko suppos power izark must fend overcom futur lace chao,135,1348,6617,396,6511,3.0
Homunculus,169,8.35,89,6737,2003,susumu nakoshi middl age man spend day lavish first class hotel park full homeless peopl one day eccentr young man approach nakoshi search subject will partak trepan procedur drill hole skull mysteri person claim nakoshi perfect man experi initi reject offer doubl back decis car get tow nakoshi agre let manabu ito 22 year old medic student drill hole skull exchang 700 000 yen procedur bear result first nakoshi show abnorm normalci come abrupt end howev nakoshi begin see homunculu everi person percept distort nakoshi face homunculus,20,14172,48305,2129,60034,7.0
Hadashi no Gen,170,8.35,1667,229,1973,1945 japan gen nakaoka spirit six year old boy live poor yet love famili wartim hiroshima second world war rage gen father daikichi stand among outspoken oppos emperor stand innoc civilian bear brunt war howev societi noth fever support nation gen famili ostrac traitor unbeknownst terribl fate await peopl hiroshima one quiet morn u forc drop atom bomb hiroshima instant citi complet destroy leav thousand dead mani expo radiat though gen manag surviv blast find life irrevers chang regroup left famili gen must grappl starvat destitut unsympathet public see survivor littl diseas ridden beggar base author keiji nakazawa real life experi hadashi gen follow gen fellow survivor struggl surviv post war hiroshima gen resolv soldier unwav determin never forgiv caus atroc never forget pain bomb never let spirit broken tragedi,189,1028,2326,283,7126,14.0
Ten: Tenhou-doori no Kaidanji,171,8.35,3578,279,1989,23 year akagi shigeru deadli battl washizu iwao ten takashi live life rep mahjong player kind person heart also posse ingeni talent mahjong one day ten meet igawa hiroyuki student player play logic hiroyuki overwhelm ten play style involv anyth besid logic soon becom one close friend rep player ten play yakuza chanc victori seem ten side yakuza decid call secret weapon legendari rep player call,131,570,1816,96,2827,14.0
Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,172,8.35,1272,239,2009,ever sinc young eva ushiromiya work tirelessli prove ideal successor ushiromiya famili headship despit face endless discrimin woman determin overcom odd surpass older brother krauss set inherit posit way birthright opportun realiz dream come annual confer island rokkenjima announc epitaph riddl eva believ find hidden gold forc rest famili member acknowledg howev adult ushiromiya famili deciph puzzl string unexplain murder ensu forewarn unfortun fate await end meanwhil game board golden witch beatric battler ushiromiya commenc bring new yet unlik accomplic particip duel,102,975,9011,124,4235,7.0
Machida-kun no Sekai,173,8.35,606,852,2013,hajim machida despit complet averag teenag ador famili friend even classmat kind help natur lead special encount daili basi whether younger sibl home someon meet street interact brand new experi machida begin learn differ variou type love,14,3119,13092,376,11296,3.0
Harukaze no Étranger,174,8.35,864,922,2014,begun relationship lover shun hashimoto mio chibana depart tokyo unlik tranquil seasid town met citi bustl metropoli peopl walk life go live even openli homosexu relationship never easi task societi reject go norm destin shun famili home place left year ago outing nearli everyth nostalg place dog roof boister younger brother unexpect surpris shun mother wish two stay father remain emot disconnect son becom reacquaint famili friend grow accustom new environ shun mio face seemingli insurmount challeng come term past,241,8337,2917,441,7225,11.0
Kieta Hatsukoi,175,8.35,1173,704,2019,heat rooftop confess take place two men seem good natur souta aoki heart stolen angel smile kind action femal crush mio hashimoto unfortun devast lend era anoth classmat name ida engrav top kousuk ida spot name era led believ aoki one harbor romant feel aoki left struggl clear situat alon without reveal hashimoto feel ida fake honest pine mix misunderstand abound heart pound triangl first love,14,5179,3301,278,6048,3.0
Mahoutsukai no Yome,176,8.34,152,3937,2013,despit abil see otherworldli creatur chise hatori never consid lucki ever sinc parent abandon young age center hardship drive point sell slave market secur place call home present bidder rare sleigh beggi be unusu high affin magic energi chise last remain hope appear form elia ainsworth mysteri magu beast man rather keep slave decid make apprentic well bride chise physic transport english countrysid elia live also introduc world wondrou thing fairi dragon norm soon realiz much fear new life marvel lie heart question whether fallen hand someth much darker inner demon,53,41598,2517,3648,34967,13.0
Mushishi Tokubetsu-hen: Hihamukage,177,8.34,3540,17,2013,eclips occur sun remain dark one area mushi expert ginko must come determin return sun villag crop die secret seem connect twin girl live nearbi sourc ann,2,367,1726,63,3330,8.0
Versailles no Bara,178,8.34,1077,723,1972,hope unit countri allianc empress austria arrang daughter delight yet spoil mari antoinett marri crown princ franc loui xvi upon arriv versail austrian princess meet oscar francoi de jarjay captain royal guard seemingli dash young man antoinett astonish fact woman youngest daughter nobl famili promin lack male heir oscar rais boy continu famili militari legaci suffoc rigid rule associ new posit long companionship antoinett immedi take like intrigu young woman wast time befriend howev childish new queen foolishli abus power oscar conflict maintain loyalti royal famili address grow concern poverti among common peopl recal event french revolut versail bara depict struggl two woman unjustli burden famili expect yet despit forc deni ident expens person happi march becom key player annal histori,158,1633,5039,354,8950,14.0
Touch,179,8.34,1480,470,1981,touch shounen stori two twin brother pretti girl next door good old pastim basebal manga written one well known manga ka adachi mitsuru earli 80 1981 1986 wonder writer tend write stori relat basebal koshien stadium high school basebal tournament held sourc mangaproject,197,929,5922,218,5427,3.0
Saikyou Densetsu Kurosawa,180,8.34,701,1252,2003,44 year old singl work construct compani entir life kurosawa want littl respect co worker littl popular hurt unfortun kurosawa plan fail miser time time one day find right middl fight delinqu middl schooler,19,2310,8346,452,13008,4.0
Hoshi no Samidare,181,8.34,272,3229,2005,one day colleg student yuuhi amamiya approach talk lizard sir noi crezant crezant immedi launch fantast stori power mage animu intend destroy earth biscuit hammer huge contrapt loom high earth orbit earth hope lie princess beast knight whose task protect princess defeat animu yuuhi chosen lizard beast knight despit misgiv quickli forc defend golem creat mage save neighbor princess samidar asahina swear loyalti howev princess intend save earth let yuuhi real motiv prevent animu destroy earth annihil planet hand pair continu fight attack animu golem remain beast knight slowli gather learn use power grow closer asahina yuuhi decid whether go along plan save earth process must also confront true self determin loyalti truli lie,228,6272,24403,1371,23583,4.0
Daichouhen Doraemon,182,8.34,5509,71,1980,doraemon seri robot cat name doraemon travel back time 22nd centuri help schoolboy name nobita nobi asid normal manga book great adventur differ place special describ doraemon long stori book sourc mu,78,271,2159,123,741,9.0
Gin no Saji,183,8.34,405,1552,2011,yuugo hachiken spent everi wake moment life studi order achiev highest grade school final crack pressur parent expect success yuugo decid leav citi life enrol rural ooezo agricultur high school howev absolut experi farm attempt util skill built studi yuugo begin pursu true mean dream perhap discov along way life simpl seem yuugo must learn hardship may appear least expect,197,13105,8824,1237,14170,3.0
Gochuumon wa Usagi desu ka?,184,8.34,2987,319,2011,cocoa arriv cafe rabbit hous one day excit rabbit actual live cafe meet lot differ girl includ tini cool girl name chino tough soldier esqu girl name rize spacey quintessenti japanes girl name chiya ordinari dignifi sharo,154,2363,271,175,3476,17.0
Youjo Senki,185,8.34,654,864,2016,intrigu sever lack faith particular salaryman display drew last breath godlik presenc known x reincarn magic yet war torn world test mettl new circumst x believ man succumb relentless suffer call upon heaven assist start life young girl name tanya degurechaff salaryman quickli util past experi volunt militari countri empir wield tremend potenti despit child tanya prodigi capac strateg magic warfar allow quickli ascend rank consist lead nation miracul victori ongo war even one purpos live backlin far warzon effect defi x object howev tanya strive escap x influenc soon come know even geniu situat human simpli cannot overcom without divin intervent,75,12763,993,948,9960,13.0
Mairimashita! Iruma-kun,186,8.34,286,3221,2017,fourteen year old iruma suzuki worst luck possibl incap say anyon alway perform whatev life threaten job greedi lazi parent request life take unexpect turn form contract sullivan high rank demon cost soul afraid confus iruma surpris sullivan want act grandfath sullivan take care iruma decid enrol demon school babyl iruma greatest challeng hide statu human keep low profil among peer option howev iruma soon discov ordinari human demon might also meet eye,186,38908,1235,1500,10496,13.0
Lovely★Complex,187,8.33,247,2796,2001,taller averag 172 cm risa koizumi learn occasion nemesi shorter averag 156 cm atsushi ootani romant interest friend decid team also feel friend unluckili howev respect crush fall instead determin find new love recent misfortun pair decid cheer maintain usual dynam constant bicker although continu deni risa ootani similar like admit unusu height fail grade ident tast food tendenc act extrem childish togeth inspir laughter among peer call comed duo could love two look closer think,14,6688,32416,1678,18590,3.0
Gakuen Alice,188,8.33,391,3184,2002,mikan sakura hotaru imai insepar best friend even seem like latter reciproc sentiment mikan naiv believ aloof best friend would alway side hotaru decid depart tokyo attend alic academi school home gift child posse uniqu abil known alic heartbroken feel abandon mikan run away home pursuit friend hope enrol prestigi institut mikan get accept student alic academi reunit friend quickli learn academi fun game school divid hierarchi system base strength alic behavior academ perform well classifi student specif alic subgroup person educ find lowest rank mikan face bulli classmat believ belong natsum hyuuga one academi highest rank student especi vitriol toward mikan seemingli reason student begin discov special academi hidden secret mani lot darker one might think unravel mysteri mikan friend find entangl someth far bigger could imagin,117,9259,17304,2568,8965,14.0
Mars,189,8.33,482,2005,1996,timid 16 year old kira asou prefer alon draw stand park approach schoolmat rei kashino notori woman ask direct distrust rei intent kira quickli chalk map run away littl know rei find one sketch back map becom captiv artist skill much kira chagrin rei immedi recogn school ignor attempt strike convers howev rei sincer prais draw lead kira see violent rebel better light watch kiss statu god mar kira feel move instantli request model kira rei chanc encount begin develop flourish relationship becom two polar person,12,2972,17278,1133,11590,14.0
Ookami Kodomo no Ame to Yuki,190,8.33,716,543,2012,stori cover 13 year begin 19 year old colleg student name hana encount fall fairi tale like love wolf man marri wolf man hana give birth rais two wolf child older sister name yuki born snowi day younger brother name ame born raini day four quietli live corner citi conceal exist wolf child wolf man suddenli die hana decid move rural town far remov citi sourc ann,219,2190,12908,286,8182,11.0
Totsukuni no Shoujo,191,8.32,203,2837,2015,long ago god light god dark devot god light experienc happi good fortun god dark would play trick peopl steal joy legend goe god light decid punish turn monster enrag god dark wield punish cur order inflict suffer upon other action banish outsid monstrou child remain etern insid must never come contact someon outsid lest cur hideou form littl girl name shiva insid found outsid come know sensei though cannot touch sensei care shiva best togeth live moder happi life soon shiva find danger outsid kind well,53,18497,11341,1106,38180,13.0
Fumetsu no Anata e,192,8.32,129,4031,2016,mysteri immort sent earth emot ident howev abl take shape around strong impetu first sphere imit form rock temperatur drop snow fall atop moss inherit moss injur lone wolf come limp lay die take form anim final gain conscious begin travers empti tundra meet boy boy live alon ghost town adult abandon long ago search paradis said exist far beyond endless sea white tundra howev effort naught boy critic state acquir form boy set never end journey search new experi place peopl,194,46655,2431,4466,38094,3.0
Kininatteru Hito ga Otoko ja Nakatta,193,8.32,1678,499,2023,kininatteru hito ga otoko ja nakatta depict love stori high school girl classmat mistak guy outsid school eventu bond share tast rock music sourc mu,6,7563,162,141,3158,6.0
Full Metal Panic! Sigma,194,8.32,1621,455,2005,tell stori full metal panic second raid also base novel end day day leav origin seri seri tell sousuk mithril fight amalgam like origin seri side gotten bit aggress,89,2285,4994,298,3630,16.0
Piano no Mori,195,8.32,1205,370,1998,middl forest rest abandon piano one walk may hear music come sit chair young boy kai ichinos live young singl mother work prostitut somewhat troublemak school come defend transfer student shuuhei amamiya class bulli shuuhei come famili distinguish pianist expect follow footstep practic rigor everi day live parent expect meanwhil kai help teacher former pianist legend want reach shuuhei level success also want becom best pianist japan rivalri two friend rais talent new level also inspir rise pianist world,161,3054,3624,461,7120,3.0
Ojisama to Neko,196,8.31,870,573,2017,one cat local pet shop wait long time someon bring home reach adulthood alon cage avoid potenti owner petti reason like cute enough snotti fortun chang one day elderli gentleman name kanda come store choos take home widow left behind grown child kanda seek felin companion allevi solitud time humor other heartwarm ojisama neko follow kanda newli name fukumaru experi joy live togeth learn,106,8588,691,507,8838,11.0
Bocchi the Rock!,197,8.31,1047,636,2017,high school student hitori bocchi gotou social life friend unless count guitar dream creat school band hope use instrument elev social stand howev despit spend last two year dilig practic guitar closer goal although gain follow onlin guitar cover popular song bocchi lack social skill mean dream may ultim imposs one day drummer nijika ijichi spot bocchi guitar alon park desper need guitarist nijika quickli recruit bocchi band nijika form bassist ryou yamada kessoku band though overwhelm left flounder sudden social interact bocchi realiz may start someth bigger,154,8792,338,318,6745,17.0
Teito Seihai Kitan: Fate/type Redline,198,8.31,1558,624,2019,remak comedi spin manga koha ace go teito seihai kitan,207,6782,241,156,4532,12.0
Koko wa Ima kara Rinri desu.,199,8.31,689,881,2016,ethic term use describ principl aim determin whether person behavior action justifi right wrong takayanagi high school teacher charg elect cours focus ethic despit full class aim teach student import moral philosophi mani student attend takayanagi class deal issu engag lesson learn approach problem differ perspect,113,12083,931,830,9666,14.0
Yomawari Sensei,200,8.31,1452,201,2004,author high school teacher recount 12 year night patrol yokohama citi come face face youth deal issu rang self mutil drug abus sourc mu,125,2151,1629,222,8596,14.0
Sakamichi no Apollon: Bonus Track,201,8.31,3136,36,2012,join sentar kaoru friend short jam session friendship music love 1 junichi yurika junichi move tokyo 2 short stori kouta ritsuko guy answer phone kaoru call ritsuko 3 tsutomu mura ritsuko dad find way jazz 4 sentar kawabuchi discov new resolv 5 stori,98,183,4228,51,1777,11.0
Shin Angyo Onshi,202,8.31,483,1233,2001,jushin live secret govern agent call amen osa angi onshi japanes version travel countrysid disguis charg king find punish corrupt govern offici bring justic countri citizen sourc wikipedia,203,3397,10450,873,18410,10.0
Higurashi no Naku Koro ni Kai: Meakashi-hen,203,8.31,1263,346,2006,sonozaki famili hinamizawa kept twin sister mion shion apart long rememb mion becom next heir sonozaki famili shion attend st lucia academi away dear sister rel shion escap school return hinamizawa unawar cruel tragedi await reunit sister get part time job pretend mion meet satoshi houjou boy age fall madli love learn satoshi horribl famili situat begin resent everyon household even younger sister satoko tension escal satoshi abruptli goe miss shion begin suspect famili may someth disappear year later shion meet keiichi maebara mion crush sister infatu keiichi stir old feel satoshi awaken viciou desir find truth behind disappear howev shion quest truth send spiral dark path mad despair,105,1006,7654,178,5509,7.0
Tsubasa: RESERVoir CHRoNiCLE,204,8.3,187,6197,2003,warmheart syaoran alway friend sakura princess clow kingdom hold extraordinari power capabl chang world mysteri man attempt monopol sakura abil memori scatter throughout differ world form feather save sakura syaoran seek help dimension witch meet two travel kurogan fai flourit kurogan capabl fighter ninja banish homeworld wish return contrast fai magician cele want travers differ world avoid home past price cross dimens three must sacrific valu posse sakura sake syaoran agre give away relationship payment dimension witch firm determin syaoran kurogan fai begin journey numer world fight ill fate destini,194,12566,34429,4116,20922,10.0
Kodomo no Omocha,205,8.3,796,1152,1994,sana kurata child actress face mani problem classroom includ major one bulli classmat akito hayama sana outgo friendli natur lead work toward correct problem around meddl irrit hayama time captiv hayama gloomi natur irrit sana compel chang two opposit attract face mani hardship bring closer mutual understand sourc ann,178,1299,13181,551,6164,3.0
Sora wa Akai Kawa no Hotori,206,8.3,743,1246,1995,seemingli ordinari modern day teenag yuri suddenli whisk away hittit empir ancient anatolia ambiti queen want girl blood sacrific order murder heir son thu seiz control throne luckili time intervent princ kail save yuri queen grasp kail promis send yuri back home queen persist scheme kill plu grow feel keep plan delay sourc wikipedia includ one shot volum 28 oront renka,181,2543,9443,1027,9017,3.0
Blame!,207,8.3,72,8283,1997,enorm steel labyrinth riddl horrifi creatur human forc isol small enclav live constant fear annihil dystopia strang young man known killi brave enough travers unforgiv territori posse superhuman strength rare graviton beam emitt killi fight bloodthirsti beast fiendish forc desper search human net termin gene genet inform hold potenti restor corrupt world dark world blame follow killi meet new peopl shed blood draw closer find net termin gene exploit true natur world slowli piec togeth,2,17275,44337,2941,77962,7.0
Hellsing,208,8.3,145,5732,1997,centuri mani secret organ taken part extermin variou type danger monster one england base hell run cun leader sir integra fairbrook wingat hell greatest hunter trump card alucard unbeat vampir genet modifi father despit one swore protector servant new crisi begin help serum victoria recent turn vampir partner alucard uncov truth behind mysteri vampir attack everi human bound alli battl hesit kill anyon stand way,227,12871,43693,3075,28016,7.0
Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen,209,8.3,1600,231,2006,summer 1983 rena ryuuguu friend enjoy day way alway play game live life content villag hinamizawa dark form rena heart even closest friend may safe rena divorc father recent found new girlfriend sleazi woman name rina mamiya rena hatr solidifi discov woman true boyfriend tri swindl rena father money tumultu confront rina learn rena realiz must resort desper measur keep father safe friend notic act rather strang investig done instead abandon rena assum would band togeth support help howev discov shock snag plan rena realiz may trust wrong peopl begin becom highli suspici friend townspeopl uncov truth town long histori murder disappear realiz drastic action save villag utter destruct,104,685,6368,105,4498,7.0
Higurashi no Naku Koro ni Kai: Minagoroshi-hen,210,8.3,1761,205,2008,young life rika furud wit unspeak tragedi hometown hinamizawa repeat month june 1983 time end disast world variabl lead tragedi alway differ summer reset rika find back june 1983 even le time usual set thing right minagoroshi hen follow rika journey yet anoth world tri fight impend doom well friend howev friend solv one problem anoth pop place inch ever closer toward true ident mastermind behind countless tragedi hinamizawa,100,728,5593,108,4144,7.0
Doukyuusei,211,8.3,433,1434,2006,hikaru kusakab ordinari teenag band smoke goe parti enjoy youth fullest classmat rihito sajou hand complet antithesi rihito honor student alway top class receiv perfect score high school entranc exam rehears choru festiv kusakab notic sajou sing offer help practic start meet everi day class train even complet differ person two boy begin grow closer develop feel pressur last year high school student face loom decis futur along way two boy need learn feel support grow togeth,172,1691,25743,261,10108,11.0
Love So Life,212,8.3,263,1837,2008,shiharu nakamura high school girl love child live orphanag aspir run daycar work part time nurseri school cute two year old twin akan aoi matsunaga attend one day handsom young man name seiji matsunaga come rush pick twin refus go home cling onto shiharu instead shock child strong attach shiharu seiji urgent request babysit offer pay twice amount current earn daycar shiharu realiz cash cover live school expens also provid experi need fulfil dream love life follow happi day shiharu find fall love makeshift famili twin live earli childhood play learn grow,117,14116,24187,1848,15766,11.0
Canis Series,213,8.3,1865,280,2012,volum 1 dear mr rain kutsuna satoru hat maker pick man collaps side road name kashiba ryou came japan die volum 2 3 dear hatter volum 4 5 speaker,172,3140,1044,321,4945,11.0
Orange,214,8.3,68,7071,2012,one morn naho takamiya receiv letter mail claim 10 year futur letter reveal seri event suppos take place day first naho think prank letter mention transfer student name kakeru narus realli end transfer class later day forc believ content naho continu read letter futur self mention sever regret urg naho take right decis somehow regret seem connect kakeru burden knowledg boy friend futur naho abl make perfect choic alter seem fate,160,21300,77737,2706,47762,9.0
Saiki Kusuo no Ψ-nan,215,8.3,527,864,2012,kusuo saiki typic high schooler behind glass pink hair antenna like appendag exist unfathom psychic power telekinesi teleport astral project might sound excit averag person saiki viewpoint noth annoy psychic power unnecessari saiki believ sinc kid secret esper sole dream live ordinari life saiki tri use psychic abil stay public gaze howev clean odd classmat antic keep psychic power secret make rather difficult achiev peac life desir,189,7695,8789,1000,12650,12.0
