name,ranked,score,popularity,favorite,published,genre,description,serialization,reading,completed,dropped,plan_to_read
Gekkan Shoujo Nozaki-kun,124,8.44,186,"3,883","Aug 25, 2011","Comedy, Romance","Confessing to your crush is no easy task for any teenager, and it is no different for Chiyo Sakura, who was saved from being late on the first day of school at Roman Academy by Umetarou Nozaki. Touched by his action, Sakura begins to develop feelings toward him.

One fateful day in their second year of high school, Sakura finally musters up the courage to confess. Swallowing her fears, she reveals it to him in a classroom after school. However, unbeknownst to her, Nozaki is actually a praised shoujo manga artist working under the pen name of ""Sakiko Yumeno."" His work is acclaimed for being sensitive toward girls' feelings, but Nozaki himself has no experience with love or being in a relationship.

All this results in him misunderstanding Sakura's confession as nothing but praise from a fan, and he simply hands her his autograph. One misunderstanding leads to another, and she somehow ends up working as an assistant for his manga. Gekkan Shoujo Nozaki-kun follows Sakura as she continually tries to convey her feelings to the oblivious Nozaki while helping him with his manga, as well as meeting his quirky assistants who coincidentally also attend Roman Academy.

",Gangan Online,"39,262","2,436","2,422","28,588"
Shimeji Simulation,125,8.44,1138,833,"Jan 26, 2019",Slice of Life,"After locking herself inside her closet for two years, Shijima Tsukishima finally comes out of isolation to attend high school. However, when she looks at herself in the mirror, she discovers two shimeji mushrooms growing on the top of her head. This odd occurrence, combined with a lack of social ability and being bullied in middle school, leads Shijima to keep to herself when she arrives at school.

While reading alone, Shijima is approached by her classmate, Majime Yamashita, an eccentric girl with a fried egg on her head. Majime pesters Shijima to be her friend, giving her the nickname ""Shimeji"" upon seeing the mushrooms growing on her head. After enough insistence on friendship, Shimeji gives in and decides to keep Majime company. Shimeji tries to get through a less-than-normal high school life as she explores the mysteries and wonders of this strange world with her new tenacious companion.

",Comic Cune,"5,490","1,191",278,"8,188"
21st Century Boys,126,8.44,157,862,"Dec 25, 2006","Award Winning, Drama, Mystery, Sci-Fi","As the conflict between Kenji Endo, his childhood friends, and cult leader ""Friend"" comes to an end, two mysteries remain—Friend's true identity and whether the threat of an ""anti-photon bomb"" before his death was legitimate. Hoping to find an answer, Kenji, alongside the United Nations, decides to use a virtual reality program created from Friend's childhood memories in this conclusion to a long journey that will span dozens of decades.

",Big Comic Spirits,"3,082","55,539",287,"27,892"
Doraemon,127,8.44,1318,892,Dec 1969,"Adventure, Award Winning, Comedy, Sci-Fi, Slice of Life","Doraemon is cat shaped robot from the future traveling all the way back to the 20th century in order to help Nobi Nobita, a lazy kid with nothing really going for him. Nobi is bad at sports, his grades are terrible, he can't even win a match of rock-paper-scissors. Doraemon has a hard task ahead of him but he is well prepared with a huge arsenal of the most inventive and funny gadgets available. The problem is he's not the most competent robot cat helper out there either and the pair gets in constant trouble because of it. Thus begins one of the most interesting friendships ever to appear in a manga series.",None,"2,167","6,501",916,"3,516"
Usogui,128,8.44,533,"1,144","May 11, 2006",Action,"Taking risks is a part of human nature, and to gamble means to risk losing something important in the pursuit of obtaining something greater. However, the world of gambling is neither welcoming nor forgiving, and some will lie and cheat to win. Therefore, a powerful organization, ""Kakerou,"" exists to ensure that all bets maintain a semblance of fairness.

Baku Madarame, often referred to as ""Usogui,"" is a genius gambler willing to bet more than just money. Putting his life on the line, he faces off against psychotic opponents in deadly psychological games. With his cold and calculating nature and high level of intellect, Baku challenges the liars known as gamblers while aiming to seize control over Kakerou itself.

",Young Jump,"5,950","3,639",701,"20,044"
Barakamon,129,8.44,408,"1,417","Feb 22, 2008","Comedy, Slice of Life","Seishuu Handa is considered a prodigy in the calligraphy world. However, he is extremely narcissistic about his work, and when a senior curator dismisses his award-winning piece as conventional and bland, he loses his cool, leading to potentially career-ending repercussions.

After seeing his son's immaturity, his father⁠—also a master calligrapher—sends Handa to a village in the Goto Islands as punishment. Deprived of city comforts, Handa moves into a house in the local village with the sole intention of spending his stay engrossed in calligraphy. However, the house he has moved into was previously the hideout for some rambunctious children, headed by Naru Kotoishi, who are unwilling to move out. Furthermore, the neighbors seem very interested in the calligrapher, who they see as an amusing oddity!

Despite Handa having been uprooted from his comfortable lifestyle, his experiences with the village and its people will teach him things about himself, life, and calligraphy.

",Shounen Gangan,"10,341","8,248",879,"18,341"
Mugen no Juunin,130,8.43,185,"2,974","Jun 25, 1993","Action, Adventure, Drama, Supernatural","Manji is an infamous swordsman in feudal Japan who is known as the ""Hundred Man Killer,"" as he has killed one hundred innocent men. However, there is something far more frightening than his ominous reputation: the fact that he is immortal. This is the handiwork of eight-hundred-year-old nun Yaobikuni, who placed bloodworms capable of healing almost any wound in Manji's body.

To atone for his crimes, Manji resolves to kill one thousand evil men. Yaobikuni agrees to this proposal, saying that if he succeeds, she will undo his curse of immortality. Soon after this promise, Manji meets Rin Asano, a 16-year-old girl who requests Manji's assistance in killing those who slaughtered her parents.

Initially reluctant, Manji refuses Rin's desperate plea. However, owing to her evident lack of strength, Manji changes his mind and agrees to protect Rin for four years. With this partnership set in stone, the two embark on a perilous journey of bloodshed, vengeance, and redemption, each to fulfill their own life's cause.

",Afternoon,"12,379","13,920","1,962","46,174"
Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,131,8.43,1571,256,"Nov 18, 2010","Drama, Horror, Mystery, Supernatural","Now that Battler's found the truth, he's become the next game master. In order to prove to Bernkastel and Lambdadelta that he understands all of Beatrice's previous tricks, he's built a game board of his own and now has to face off against Erika once again.",GFantasy,909,"6,892",94,"4,108"
Horimiya,132,8.43,16,"25,054","Oct 18, 2011",Romance,"Although admired at school for her amiability and academic prowess, high school student Kyouko Hori has been hiding another side of her. With her parents often away from home due to work, Hori has to look after her younger brother and do the housework, leaving no chance to socialize away from school.

Meanwhile, Izumi Miyamura is seen as a brooding, glasses-wearing otaku. However, in reality, he is a gentle person inept at studying. Furthermore, he has nine piercings hidden behind his long hair and a tattoo along his back and left shoulder.

By sheer chance, Hori and Miyamura cross paths outside of school—neither looking as the other expects. These seemingly polar opposites become friends, sharing with each other a side they have never shown to anyone else.

",GFantasy,"131,239","91,354","12,935","75,590"
Hirano to Kagiura,133,8.42,2227,372,"Mar 15, 2019","Boys Love, Slice of Life","The diligent high school freshman Akira Kagiura and his senior Taiga Hirano have been roommates for half a year. Kagiura used to be anxious about his future dormitory life, but thanks to his energetic senior looking out for him, he has come to feel content and at ease. As he continues to rely on Hirano more and more each day, he develops strong feelings for his selfless friend. In the six months they have left as roommates, Kagiura is determined to put a name to the relationship he cherishes so dearly before it comes to an end.

",Comic Gene,"4,927",348,96,"2,824"
Innocent Rouge,134,8.42,635,833,"May 20, 2015",Drama,"The eve of the French Revolution, 1772— The eldest brother of the Sanson family, Charles-Henri, has grown as an executioner, while his sister, Marie-Joseph, has been living freely in Versailles. But one day, Marie-Joseph's first love, a man named Alain, is killed by aristocrats...! This history of innocents plunges into the arc of the crimson revolution, Rouge—!!",Grand Jump,"3,765","7,154",354,"15,190"
Tobaku Mokushiroku Kaiji,135,8.42,923,473,"Feb 10, 1996","Award Winning, Drama","Itou Kaiji is a bum who steals car emblems and slashes tires on what seems to be a regular basis. This routine changes one day when he is paid a visit by a man in a trench-coat. Once the two get talking, it seems that the visitor (Calling himself Endou) is a debt collector. The reason for his visit is an unpaid loan which Kaiji had previously co-signed for a work-mate (Furuhata Takeshi). The original loan was 30000 yen and once Takeshi had disappeared, the loan then fell on Kaiji.

Kaiji is then told of a way to clear the interest compounded debt (which stood at 3,850,000 yen), which involved getting on a boat with others in his position. Once on the boat the debtors would then have to gamble with loaned money, which would end with a few winning, and others getting into deeper debt and having to work to pay of their debts. After some coercing kaiji accepts a position on the boat, in order to clear himself and make a bit of money as well...

(Source: AniDB)",Young Magazine (Weekly),"2,019","5,953",286,"10,106"
"Mata, Onaji Yume wo Miteita",136,8.41,883,781,"Sep 23, 2017",Drama,"Elementary school student Nanoka Koyanagi considers herself weird. She often uses it as an excuse to avoid doing things she dislikes, such as participating in her physical education class or getting along with her classmates. Out of concern and good will, her teacher assigns her to find the meaning of ""happiness.""

While Nanoka thinks about her homework, she often meets Abazure-san, a cheerful lady who helps her save a cat. Nanoka also pays regular visits to Obaa-chan, an old woman spending her twilight years in the woods. One day, Nanoka gets lost in the forest and stumbles across a high school girl named Minami committing self harm. As Nanoka gets closer to these three unique individuals, their stories and experiences shape for her a pathway toward soul-searching and self-discovery.

",Monthly Action,"1,572","9,135",124,"8,760"
Dragon Ball,137,8.41,65,"14,307","Nov 20, 1984","Action, Adventure, Comedy, Sci-Fi","Bulma, a headstrong 16-year-old girl, is on a quest to find the mythical Dragon Balls—seven scattered magic orbs that grant the finder a single wish. She has but one desire in mind: a perfect boyfriend. On her journey, Bulma stumbles upon Gokuu Son, a powerful orphan who has only ever known one human besides her. Gokuu possesses one of the Dragon Balls, it being a memento from his late grandfather. In exchange for it, Bulma invites Gokuu to be a companion in her travels.

By Bulma's side, Gokuu discovers a world completely alien to him. Powerful enemies embark on their own pursuits of the Dragon Balls, pushing Gokuu beyond his limits in order to protect Bulma and their growing circle of allies. However, Gokuu has secrets unbeknownst to even himself; the incredible strength within him stems from a mysterious source, one that threatens the many people he grows to hold dear.

As his prowess in martial arts flourishes, Gokuu attracts stronger opponents whose villainous plans could collapse beneath his might. He undertakes the endless venture of combat training to defend his loved ones and the fate of the planet itself.

",Shounen Jump (Weekly),"20,762","101,086","5,260","19,517"
Nodame Cantabile,138,8.41,643,878,"Jul 10, 2001","Award Winning, Comedy, Romance, Slice of Life","Shinichi Chiaki, the perfectionist son of a famous pianist, is in his fourth year at Momogaoka College of Music, hoping to achieve his secret dream of being a conductor. His admiration for his father led him to pursue a career in music. As much as he wants to return to Europe, his phobia of flying traps him in Japan where he now lives.

One night, he passes out, and ends up being taken in by Megumi ""Nodame"" Noda. Upon first glance, Nodame is a talented pianist, but she is also slobbish and eccentric. What's even worse is that she is his neighbor and he ends up forced to work with her. Though it sounds like a recipe for disaster, Chiaki is drawn to this girl who makes him remember the love for music he once held. Just what does the future hold for this musical duo?

",Kiss,"3,648","9,127",855,"11,620"
Basara,139,8.41,746,881,"Aug 11, 1990","Adventure, Award Winning, Drama, Fantasy, Romance","At the end of the 21st century, a great catastrophe devastates Japan, leaving its land unrecognizable and halting civilization's progress. In the present day, the emperor and his four sons reign over the country with an iron fist. It is said that only the prophesied ""Child of Destiny"" can free Japan from the royal family's shackles.

Sarasa is the twin sister of Tatara, the Child of Destiny. Despite having to live in her brother's shadow, Sarasa supports him in any way she can. However, tragedy strikes when the Red King, the emperor's youngest son, and his army attack her village, leading to Tatara's brutal death. To protect the townspeople, Sarasa takes on her brother's name and becomes the Child of Destiny, vowing revenge on the Red King.

With the sudden turn of events taking a toll on her health, Sarasa visits a hot spring to recuperate. During her stay, she meets Shuri, a charming yet mysterious young man. Shuri is fascinated by Sarasa as she treats him differently from other girls; meanwhile, Sarasa is unable to stop thinking about him. This casual encounter between the two seals their fate—destined to be bound by war, hatred, and love.

",Betsucomi,"2,386","6,281",725,"12,653"
Tobaku Hakairoku Kaiji,140,8.41,1827,177,Nov 2000,Drama,"After Kaiji's showdown with Chairman Hyoudou at Starside Hotel, Kaiji is forced into labor at an underground mine. With meager wages each day, he will work for decades unless he doesn't do something.

Now Kaiji must wager his earnings in underground Chinchirorin gambles for a ticket to the rest of the world. But even if he surfaces, he only has one chance to pay back his enormous debt, and that is by challenging the ""unbeatable"" Pachinko machine, The Bog.

(Source: MU)",Young Magazine (Weekly),598,"5,380",90,"4,156"
Kuroshitsuji,141,8.41,62,"16,265","Sep 16, 2006","Action, Fantasy, Mystery, Supernatural","Tucked away in the English countryside lies the ominous manor of the Phantomhives, a family which has established itself as the cold and ruthless ""Queen's Watchdog"" as well as the head of London's criminal underground. After a tragedy leaves the Earl and his wife dead, many are shocked when their son, a young boy named Ciel, claims his place as the new Earl of the Phantomhive house. At first, many perceive him only as a child surrounded by a few eccentric servants. But they soon begin to realize that it is foolish to meddle with Ciel and his demonic butler Sebastian.

Taking place at the end of the 19th century, Kuroshitsuji follows these two as they face countless mysteries and dangers that plague England and threaten the Queen, uncovering the truth about what really happened to Ciel's parents in the process.

",GFantasy,"85,264","5,768","10,349","37,564"
Onanie Master Kurosawa,142,8.41,80,"10,236",Sep 2007,Drama,"Fourteen-year-old Kakeru Kurosawa is an antisocial junior high school student who looks down on his classmates—but beneath his superiority complex is a hopeless young teenager who uses masturbation as a pastime. Using erotic thoughts of his female classmates as stimulus, he locks himself daily in a seldom-used girl's bathroom at school to do his dirty deed.

One day during class, Kurosawa witnesses the popular girls bullying the timid Aya Kitahara. Although not one to be riled over such matters, he decides to deliver retribution with his own hands. In a daring move, he steals the uniforms of the bullies and dispenses his ""white justice"" over them.

Although satisfied with his exploits, Kurosawa's troubles are only just beginning. While going about his daily routine, he is suddenly confronted by Kitahara, who identifies him as the culprit behind the uniform incident, and blackmails him into terrorizing the other girls in the class the same way he dealt with her bullies. Left with little choice, Kurosawa agrees, and thus begins a coming-of-age story that deals with consequences, bullying, and people's ability to change.

",None,"7,653","84,124","1,707","37,260"
Shiori Experience: Jimi na Watashi to Hen na Ojisan,143,8.40,983,591,"Oct 25, 2013","Comedy, Supernatural","Shiori was once a guitarist in a light music club in high school, but her first live performance was dashed when her brother ran away from home with a lot of debt to become a musician in Tokyo.

A decade later, Shiori is now a high school teacher, leading a boring, uneventful life and paying off the debt...until she runs into the ghost of none other than famous guitarist Jimi Hendrix.

The story of a 27-year-old woman on her way to becoming a music legend begins here.

(Source: MU)",Big Gangan,"5,943",305,355,"10,387"
Gunnm,144,8.40,182,"4,589",Nov 1990,"Action, Sci-Fi","The utopian metropolis of Zalem soars high in the skies, its presence dominating the horizon. Beneath it is the noxious underbelly known as The Scrapyard, where the city stockpiles all of its waste. Living amongst the vast heaps of garbage are humans and cyborgs, surviving by any means necessary.

Daisuke Ido, a doctor specializing in cyborg repairs, finds the head of a young female cyborg while scavenging a pile of old android parts. Proceeding to build her a new body, he names her Gally. Upon activation, Gally does not seem to remember anything about her past life. Nonetheless, she does not seem to mind as long as she stays by Ido’s side.

However, she soon discovers that Ido has a side job as a hunter-warrior, a bounty hunter working for The Scrapyard’s government. Despite Ido’s warning, she decides to become one herself, awakening her forgotten knowledge of fighting techniques. Equipped with newfound strength, Gally is determined to fight through the alleys of The Scrapyard and beyond, retrieving fragments from her past to rediscover her true identity.

",Business Jump,"9,784","28,375","1,465","37,623"
Kaichou wa Maid-sama!,145,8.39,58,"9,329","Dec 24, 2005","Comedy, Romance","Seika High School was an all-boys school, but it has since turned co-ed. Misaki Ayuzawa is the first female student council president of the school, eventually earning the nickname of the ""Demon President"" due to her mastery of Aikido and imposed iron rule.

However, Misaki harbors an embarrassing secret—she has to work at a maid café to support her family. If anybody from her school was to find out, her reputation would be utterly destroyed. And after Takumi Usui—the most popular boy at school—discovers her secret, that might just happen. Kaichou wa Maid-sama! follows their story as they spend more time together and eventually begin to understand each other's secrets.

",LaLa,"33,478","81,620","5,989","30,869"
My Girl,146,8.39,528,759,"Jun 2, 2006","Drama, Slice of Life","Twenty-three-year-old Masamune Kazama spends his days working a mundane office job and dwelling on the past. Although it has been five years, the young bachelor continues to hold onto his relationship with his past girlfriend, Youko Tsukamoto.

Out of the blue, he receives a call from Youko's mother, who informs him that she has passed away in an accident. Furthermore, he learns that Youko has left him with a young daughter, who was raised in secrecy overseas. Stricken with grief, Masamune decides to take in the young girl and raise her on his own.

My Girl is a tale of family, loss, and acceptance as Masamune navigates the complexities of daily life as a single father.

",Comic Bunch,"3,253","11,194",412,"16,177"
Yuru Camp△,147,8.39,1002,895,"May 23, 2015",Slice of Life,"Setting up a tent, starting a fire, and eating noodles with Mt. Fuji in view...Rin and Nadeshiko absolutely love to camp! Enjoy their zest for travel and maybe even pick up a tip or two about roughing it in the great outdoors. You might just want to go camping yourself!

(Source: Yen Press)",Manga Time Kirara Forward,"7,452",443,437,"7,971"
Kimi no Na wa.,148,8.39,161,"1,542","May 27, 2016","Drama, Supernatural","Mitsuha Miyamizu is a high school girl living in the countryside town of Itomori. She yearns for a life in Tokyo as she is sick of living in the countryside. At the same time, Taki Tachibana, a high school student, lives in Tokyo and has a great interest in architecture, aiming to become an urban planner in the near future.

One day, Mitsuha dreams of herself as a boy living a life in the dense capital, while Taki dreams of living as a girl in the rural town of Itomori. As time passes by, the two discover that these are not just dreams, but that they actually swap bodies upon falling asleep! Kimi no Na wa. revolves around Mitsuha and Taki as they experience the supernatural. With both of them working together to deal with the strange phenomenon, how will this impact their everyday life?

",Comic Alive,"12,988","42,521","2,212","26,808"
Noragami,149,8.39,43,"12,023","Dec 6, 2010","Action, Fantasy","As a relatively unknown minor deity without any worshippers, Delivery God Yato takes on odd jobs for only five yen, with the goal of amassing a fortune large enough to buy himself a shrine. But in addition to obscurity, he has another problem: his ""Shinki,"" or weapon partner, has decided to resign, tired of being with a homeless god. Left with no weapon, Yato takes on more jobs, hoping to find a new partner soon.

While out putting up fliers for a missing cat, Yato sees said cat and chases after him, right into the path of an oncoming vehicle. Hiyori Iki, a nearby girl, rushes to push Yato out of the way and ends up hurt herself. After waking up in the hospital, she discovers the incident has knocked her soul loose from her body. Realizing his actions caused this, Yato promises to help return Hiyori to normal—for five yen of course. But in order to return her to normal, he requires a new Shinki, which he finds in the rebellious spirit Yukine.

Noragami tells the story of a girl walking the line between two worlds, and a stray deity's quest for a place to call his own.

",Shounen Magazine (Monthly),"93,961","6,095","6,491","53,065"
Imawa no Kuni no Alice,150,8.39,191,"3,300","Nov 25, 2010","Action, Horror, Supernatural","Feeling unsettled about the future, high school student Ryouhei Arisu often escapes the reality of life. After hanging out at a bar, Arisu and his best friends, Daikichi Karube and Chouta Segawa, wait for the first train to arrive in the morning. Suddenly, a colorful array of fireworks set off in the sky, and an enormous blinding firework renders them unconscious.

The trio finds themselves back at the bar covered in dust, discovering that the city has become a barren wasteland. But instead of being worried, Arisu feels alive for the very first time in his life and relishes the freedom of this lifeless city. However, his bliss is cut short when the group rashly enters a festival venue. Seeing its delicacies and lively ambiance, they think the place is a dream; unbeknownst to them, it will be the setting for their first deadly game.

Together with his friends, Arisu slowly enters the mysterious area known as the Borderland—an unknown country where every game puts their lives at stake, and a single misstep can lead to their demise.

",Shounen Sunday Super,"11,008","28,220","1,003","34,975"
Tensei shitara Slime Datta Ken,151,8.39,91,"5,994","Mar 26, 2015","Award Winning, Fantasy","It is just another ordinary day for Satoru Mikami. The sun is shining brightly on the streets of Tokyo, and he is in the midst of a discussion with his colleagues when suddenly he gets stabbed by a passing robber. The average 37-year-old corporate worker is now at death's door, and he has only one regret—dying a virgin. Fading out, he is startled by a mysterious AI-like voice reciting commands.

Satoru abruptly wakes up in the middle of a strange cave, but something odd has happened: he is now a goop of slime! Thanks to his new body, he has acquired the skill to absorb anything and obtain its appearance and abilities. While testing out his newfound powers and exploring the cave, he stumbles upon a massive dragon named Veldora, who has been sealed away for the past three hundred years. After quickly befriending the beast, Satoru decides to help him escape; in exchange, Satoru is bestowed a new name: ""Rimuru Tempest.""

Wishing to avoid a life like his boring and mundane past, Rimuru is about to set out on a grand quest that will change his own destiny and the fate of his new world.

",Shounen Sirius,"91,351","4,195","4,073","19,111"
Kiseijuu,152,8.38,130,"4,355","Nov 22, 1989","Action, Award Winning, Horror, Sci-Fi","""Parasites"" are tennis ball sized creatures, whose numbers and origins are unknown. They invade and take over the human mind in order to survive. Shinichi Izumi is a 16-year-old high school student who lives with his parents in a quiet neighborhood. One night, a Parasite invades Shinichi's body in an attempt to take control of it. However, it fails to complete the takeover process and ultimately ends up inhabiting only his right arm.

Thus, both Shinichi and the Parasite—who calls himself Migi—retain their individual minds. Now in a peculiar ""human and alien"" relationship, Migi proposes that they cooperate to survive. Shinichi has no choice but to agree, and he must now cling to his morality as he and Migi face off against other bloodthirsty Parasites.

",Afternoon,"11,016","54,863","1,892","29,523"
Bakuman.,153,8.38,48,"11,073","Aug 11, 2008","Comedy, Drama, Romance","Despite being a talented artist, middle school student Moritaka Mashiro is unsure about his future, accepting that he will simply lead a normal life. After seeing one of Mashiro's drawings in class, Akito Takagi—an aspiring writer—insists that they write a manga together. But Mashiro is hesitant—his uncle, a mangaka, had died from overworking just a few years prior. However, when Mashiro hears that his crush, Miho Azuki, aims to be a voice actress, he becomes determined to create a manga that can be adapted into an anime for her to star in. Reciprocating Mashiro's feelings, she agrees to get married once they have both achieved their dreams.

Bakuman. chronicles Mashiro and Takagi's successes and struggles in their attempts to be serialized in Weekly Shounen Jump and become famous mangakas. Will their gamble pay off, or will they join the countless number of failures?

",Shounen Jump (Weekly),"32,483","73,215","7,945","46,023"
Toshokan no Daimajutsushi,154,8.38,1431,390,"Nov 7, 2017",Fantasy,"Throughout civilization, books have been revered. They crystallize knowledge, link the past to the future, and convey thought itself. To protect all sorts of written texts, a man known as the Magus of the Library established the Central Library in Aftzaak—the City of Books.

In the slums of the desert village Amun lives Theo Fumis, a young boy who loves to read. Unfortunately, people from the slums are unable to use the local library. To make matters worse, he is continually bullied by his peers due to his unusually long ears. Seeking to escape from his miserable living conditions, he dreams of one day going to Aftzaak.

His unpleasant daily life is soon interrupted by the arrival of the Kafna—elite librarians skillful enough to work at the Central Library. Sedona Bleu, one of the Kafna, lends Theo her most cherished book; however, due to unforeseen circumstances, he is unable to finish reading it by the time the Kafna have to depart. Fortunately for Theo, Sedona renews his loan, giving him yet another reason to go to the City of Books.

",good! Afternoon,"4,884",154,256,"7,258"
Shadows House,155,8.37,429,"1,571","Sep 6, 2018","Fantasy, Mystery","Emilico is just one of many ""Living Dolls"" serving in the Shadows House, residents of which are pitch black from head to toe and constantly leak soot that stains the house black. Each ""Shadow"" is partnered with a Doll, which strangely resembles the other. As a Living Doll, Emilico must keep the house sparkling clean as well as act as the face for her master, Kate. In turn, Kate supports Emilico and treats her as her confidant.

As far as either of them can remember, this has always been the way their world works. However, the bond between a Shadow and a Doll isn't quite clear. Administrators watch over the young pairs from the higher levels of the mansion and judge them—but for what purpose?

",Young Jump,"16,539","1,088",993,"17,753"
Look Back,156,8.37,166,"2,450","Jul 19, 2021",Drama,"Fourth-grader Ayumu Fujino regularly draws four-panel manga for her school newspaper and is lauded as having the best artwork in her class. One day, she is asked by her teacher to turn over one of her manga slots in the school newspaper to a truant student named Kyomoto. When Kyomoto's manga pops up alongside Fujino's, it receives high praises for its detailed artwork, making Fujino furiously jealous.

Refusing to be beaten by someone who barely attends school, Fujino devotes herself to learning to create manga. As time goes on though, her goal of outshining Kyomoto seems to only get further and further away, and Fujino, now in sixth grade, eventually gives up and quits making manga.

Graduation day arrives, and Fujino is asked to deliver Kyomoto's graduation certificate to her. Through chance, the two end up coming face to face, and their unexpected meeting will end up having consequences far beyond what either of them could ever predict.

",Shounen Jump+,"3,409","65,093",47,"15,564"
xxxHOLiC,157,8.37,178,"5,020","Feb 24, 2003","Comedy, Drama, Mystery, Supernatural","Living alone after his parents passed away, Kimihiro Watanuki is a high school student who can see otherworldly creatures that are attracted to him. His days are plagued by these nuisances, and he wishes to rid himself of this inconvenience. One fateful day, as Kimihiro is being chased by a horde of spirits, his feet bring him into a mysterious store to seek shelter. Here he meets Yuuko Ichihara, the mistress of this supposed store, who claims to be able to grant wishes. Yuuko offers to grant Kimihiro's, as long as he pays an appropriate price.

Thus begins Kimihiro's time working in her store to earn the payment necessary for his wish. In Yuuko's employ, he must become further involved with spirits and the supernatural before he can leave that world behind. How will he fare in the inexplicable encounters that await him?

",Young Magazine (Weekly),"15,431","27,153","3,688","28,298"
Cardcaptor Sakura,158,8.37,246,"3,854","May 2, 1996","Adventure, Award Winning, Comedy, Fantasy, Romance","""Herein lie the Clow Cards—if their seal is broken, disaster shall befall this world...""

Sakura Kinomoto is an energetic and sweet 10-year-old girl attending Tomoeda Elementary School. One day not long after entering the fourth grade, Sakura finds a mysterious book titled ""The Clow"" hidden within her father's bookshelves. Upon opening it, a small, winged creature with an Osakan accent comes out of the book and introduces itself as Keroberos, the Creature of the Seal who guards magical cards known as the Clow Cards and keeps them from escaping the book.

Unfortunately for the plushy guardian, it seems that the Clow Cards have already escaped—and now Sakura is tasked with capturing them before the cards unleash their powers and cause havoc all over Tomoeda! With the support of the tiny guardian who she nicknames ""Kero"" and her best friend Tomoyo Daidouji, Sakura must wield a magical bird-shaped key and use her new powers as the Cardcaptor to maintain peace and ensure that everything is alright.

",Nakayoshi,"5,700","37,106","1,589","14,930"
SKET Dance,159,8.37,522,"1,453","Jul 14, 2007","Award Winning, Comedy, Drama","Kaimei High School is full of eccentric individuals, students, and teachers alike. Amongst the school's many clubs is the SKET Brigade, officially known as the Living Assistance Club. Comprised of the somewhat idiotic Yuusuke ""Bossun"" Fujisaki, the gallant Hime ""Himeko"" Onizuka, and the silent but surprisingly popular Kazuyoshi ""Switch"" Usui, the SKET Brigade is dedicated to solving various problems on campus. However, the club rarely receives requests, so the members spend most of their time messing around with random, trivial matters. Both hilarious and heartwarming, SKET Dance is a lighthearted comedy following the daily high school lives of an odd trio of friends.

",Shounen Jump (Weekly),"5,420","10,563","1,212","12,949"
Nichijou,160,8.37,460,"1,761","Jun 26, 2006",Comedy,"Daily lives of highschoolers may seem a commonplace concept, but that certainly does not apply to the trio at Tokisadame High. For Yuuko Aoi and her two eccentric friends, every day is a unique experience. From stumbling across a wrestling match between the principal and a deer to indulging in a chopstick battle over a sausage—the excitement never ends.

One day, their lives take a turn for the bizarre when they encounter an insecure robot maid, her young excitable creator, and their down-to-earth talking cat. To the people in the world of Nichijou, daily life continues to be an endless roller coaster!

",Shounen Ace,"10,611","5,992",999,"15,531"
Boku dake ga Inai Machi,161,8.37,162,"3,313","Jun 4, 2012","Mystery, Supernatural","Satoru Fujinuma is a 29-year-old who works part-time as a pizza deliveryman in order to make ends meet due to his unsuccessful career as a mangaka. But there is more to this struggling adult than meets the eye, as he possesses a mysterious ability which takes him back in time right before a life-threatening incident occurs. When ""Revival,"" as he calls it, triggers, it will continue to send him back again and again until he is able to save the lives of the individuals involved.

But Satoru's life is about to take a turn for the worse when a loved one is killed by an unknown man and he is framed for the crime. Desperate to get away so that he can assess his situation, he is inexplicably sent 18 years into the past—right before the disappearance and death of his classmate, Kayo Hinazuki, an event that has plagued him since childhood.

Satoru, now an elementary school student, must get his wits together and save the young girl from an untimely demise by figuring out the identity of the person responsible. But just how is Kayo's murder connected to the present?

",Young Ace,"10,039","44,884","1,382","27,589"
Ballroom e Youkoso,162,8.36,422,"1,271","Nov 5, 2011","Comedy, Drama, Romance, Sports","With no particular dreams or plans for the future, third-year middle schooler Tatara Fujita yearns to find something that he can pursue wholeheartedly. Initially often bullied and extorted for his lack of confidence, Tatara's life changes when he is saved from delinquents by a man named Kaname Sengoku. His savior, a motorcycle-riding dance instructor, proceeds to drag Tatara to Ogasawara Dance Studio, mistakenly believing that the boy was looking at the studio's flyer.

Tatara is then partnered with his schoolmate and skilled dancer Shizuku Hanaoka when he agrees to a trial lesson. The next day after being bullied and only to be saved yet again, he asks the studio to teach him dancing in hopes of changing his image. Now entering a bright and fast-paced new world, Tatara dedicates his time to dancing as he sweeps over the dance hall.

",Shounen Magazine (Monthly),"19,279","1,075","1,188","14,147"
